year,company,class,auwgr,lkpp,amlr,amer,der,aoer
2005,c166,mahl,0.24185428998174477,1.5054855912698912,0.8653900581531426,0.021265109914840753,0.03681473695856614,0.0008594422339448715
2006,c166,mahl,-0.8679974243399872,2.534810348454042,1.3977237869118726,0.07459755490402169,0.3718609143593046,0.0029042429606682524
2007,c166,mahl,10.434234486622776,0.836520333961756,2.218928436898529,0.22268727194676968,-3.385768314890041,0.007512341704228375
2008,c166,mahl,-0.001042953751311996,-0.1575068946497518,3.0996736791726325,6.047065415324275,-0.11997289648850094,0.18517999719848718
2009,c166,mahl,-0.5988176691456054,1.2114534963262218,2.479258651498687,1.2462633026425924,0.2249759132798778,0.04244223896262638
2010,c166,mahl,-1.3281571718032321,0.894891964740849,1.4288880893182276,0.2429025125521879,0.16693018530958662,0.006066285067819481
2011,c166,mahl,-0.24017872085546424,0.5252055584319474,2.232167247291441,0.29609664716901785,0.23787974878665363,0.0073334644099640085
2012,c166,mahl,-0.10910842671769871,1.3199339038990596,2.4993091385886763,0.27718908825057914,0.29604892420454676,0.0062186754045221925
2013,c166,mahl,0.5879009739331195,1.7553512657650108,2.559009844540004,0.18410965587404363,0.32341677369704597,0.004417398802612619
2014,c166,mahl,-0.362143411296374,-5.864363364691173,2.7136997855522376,0.22159058409987883,0.21055108296132372,0.004666871194355036
2015,c166,mahl,0.16245449665021805,1.142998359139484,3.1532958270092784,0.3247802917572844,0.07363784113723443,0.0118804609103743
2016,c166,mahl,0.002876618450405124,2.210235621497211,3.287187739756993,0.32286750159951166,0.25352456265528805,0.006777517116613595
2017,c166,mahl,0.49450648849437984,2.338853141871502,3.2266596809820283,0.2341454610063088,0.273795166192291,0.003418099570481382
2018,c166,mahl,-0.27839513790889303,-9.35090126496626,3.3717029375264,0.20331620756749802,0.28281831010854924,0.0054392397124801
2005,c166,pa,1.4038470441322446,9.746642138603391,0.734882489597376,0.21660652534565458,-0.9557192510330672,0.008746502105604431
2006,c166,pa,1.8977205693486656,4.531747415686253,0.9912710841796923,0.2789055891143309,-1.4988070590820928,0.01087208124330002
2007,c166,pa,1.9458872310811295,3.621147686658985,1.0729206182379463,0.2524632426554413,-1.6070934453722645,0.008521488105310492
