year,company,auwgr,lkpp,hlr_lag1,hlr_lag2,hlr_lag3,hlr_lag4,hlr_lag5,mer,der,oer,prem_write_net_lag1,claim_set_net_lag1,exp_management_lag1,exp_comm_incur_net_lag1,exp_other_lag1,prem_liab_diff_lag1,claim_liab_diff_lag1,uw_gain_lag1,class_bonds,class_cnstr_engr,class_cpr,class_fire,class_health,class_mac,class_mahl,class_motor,class_others,class_pa,class_prof_indm,class_pub_lia,class_wic
2011,c015,-0.17227643416755165,1.2704375749603436,-0.6278827305212454,-0.019250535331905783,-17.6573498295249,-17.6573498295249,-17.6573498295249,-0.047307222728241706,-0.35052518362047247,-0.0,361207.0,-1115.0,-16274.0,-120583.0,-0.0,-21055.0,-262147.0,-59967.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,c079,0.8981179087875417,3.4190001249756987,-0.9762304623940273,-1.01409712341339,-1.0586460121636314,-1.0120372729281992,-1.001959724587251,-0.027072431864923415,-0.2544222752696186,-0.028092992074536218,303034.92307692306,-77972.69230769231,-7813.2307692307695,-73427.46153846153,-8107.7692307692305,-7672.76923076922,-2987.153846153844,125053.84615384616,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,c079,0.1629721166032953,-5.708951432635643,-0.9884382319894258,-1.01409712341339,-1.0586460121636314,-1.0120372729281992,-1.0019597245872511,-0.04174771968854283,-0.24915016685205785,-0.0,112375.0,-26542.0,-4468.0,-26665.0,-0.0,-15774.0,62000.0,100926.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,c079,-0.08580301492178886,1.798864594970475,-1.0097786550521284,-1.0131509077246377,-1.0586460121636312,-1.0120372729281992,-1.0019597245872511,-0.03210551330798479,-0.26307224334600765,-0.0,157800.0,-48816.0,-4825.0,-39536.0,-0.0,-10906.0,-28000.0,25717.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,c079,-0.31985307875427826,1.255486956700494,-1.1712094563074626,-1.0218749120298842,-1.048200813341504,-1.0120372729281992,-1.0019597245872511,-0.020177980810164718,-0.2835863051380293,-0.0,183222.0,-106821.0,-3521.0,-49485.0,-0.0,-6806.0,-32310.0,-15721.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,c079,0.6871573531894476,0.9612188825526475,-1.0531536554131744,-1.159995429443603,-1.045045538055155,-1.0117214791324345,-1.001959724587251,-0.02061330408725464,-0.263986303854092,-0.008883064620592579,347397.0,-141099.0,-6820.0,-87341.0,-2939.0,-176558.0,-43756.0,-111116.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,c079,0.23383427988932576,294.80812049770793,-0.8430200704988488,-1.0543516213106052,-1.1657261164753017,-1.0192993654601206,-1.0034539274684517,-0.020063664554881247,-0.29060592395795387,-0.014253551975689293,450172.0,-76529.0,-8602.0,-124593.0,-6111.0,98258.0,-23256.0,309339.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,c079,-0.19433643940917522,2.045881126173097,-0.9547010312580998,-0.8494692262764449,-1.0607476718505107,-1.1418495587175557,-1.0128830279289835,-0.018403669724770644,-0.2504220183486239,-0.022422018348623854,343350.0,-52440.0,-6018.0,-81888.0,-7332.0,10578.0,-125963.0,80287.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,c079,0.6573375841303578,1.153818635366007,-1.069586069278656,-0.9568220418768959,-0.8561844430118237,-1.0514868904198391,-1.1331359182508474,-0.020360159549507276,-0.264846316283435,-0.058825082121069926,358008.0,-225919.0,-6942.0,-90302.0,-20057.0,-196821.0,112459.0,-69574.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,c079,0.6634763667936224,20.35386745111611,-1.0702342416921864,-1.0696423471192826,-0.9599508227430752,-0.8544265174561495,-1.0486140442129859,-0.024408501594048882,-0.22605313496280552,-0.05774665249734326,352875.0,-142530.0,-8203.0,-75970.0,-19407.0,132917.0,-7724.0,231958.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,c079,0.3656220793835473,25.05381307702036,-0.97969067189275,-1.0702661050393458,-1.0708606614950789,-0.9578427908405094,-0.8548359610931109,-0.03462977125247034,-0.22491992700674657,-0.05189032839392127,396201.0,-66910.0,-13067.0,-84870.0,-19580.0,76275.0,-25179.0,262870.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,c079,0.9075750709787203,2.7546077380577096,-1.0164277999120008,-0.9801285282249053,-1.071057841899591,-1.0688376766385315,-0.957464078476266,-0.034618817829827,-0.2126836292891339,-0.03761486963321826,262145.0,31226.0,-8643.0,-53099.0,-9391.0,-63371.0,-63021.0,95846.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,c079,0.8796877250284639,-5.955662040096938,-1.1868324893925264,-1.0166240022279376,-0.9808846917783447,-1.0697349381704857,-1.068150712910482,-0.03455946953232653,-0.2112798364946223,-0.027509687323709207,216262.0,-47779.0,-7118.0,-43516.0,-5666.0,79634.0,4457.0,196274.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,c079,0.4983198770292975,-5.10797268411848,-0.9694600569610864,-1.1865483068770422,-1.0171012018372105,-0.9802743363625148,-1.0692830034852734,-0.026919857938256946,-0.27584366143219324,-0.02912537465116342,368009.0,-49334.0,-9435.0,-96679.0,-10208.0,-15707.0,137087.0,323733.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,c079,0.37999274855181836,5.070141370203511,-0.8404825608725058,-0.969622613671224,-1.1866405228441799,-1.0165880911610252,-0.9801365327873368,-0.03729336785500896,-0.2697482113584484,-0.012627732753205766,391638.0,-60152.0,-13910.0,-100613.0,-4710.0,-11465.0,-5627.0,195161.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,c079,-0.02803936181023678,1.656287615423424,-1.717671820872326,-1.6707208280655854,-1.6256054907578745,-1.5392123072517774,-1.4987355347598208,-0.028119386549004782,-0.3175581404655497,-0.03275129547881817,4478682.615384615,-1926940.076923077,-119940.76923076923,-1354516.3076923077,-139697.76923076922,-132286.30769230775,-644822.461538461,160478.92307692306,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,c079,0.16945997168932653,1.4227873622655225,-1.375104582247011,-1.6707208280655854,-1.6256054907578745,-1.5392123072517774,-1.4987355347598206,-0.04174584758872216,-0.29970748224427807,-0.0,2125512.0,-434968.0,-84506.0,-606697.0,-0.0,-316939.0,-742000.0,-59598.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,c079,0.08526343935158882,1.9284066407167306,-1.1987300866435004,-1.4364200154569506,-1.6256054907578745,-1.5392123072517772,-1.4987355347598206,-0.03210949573642438,-0.2954665652127065,-0.0,2709932.0,-701475.0,-82871.0,-762566.0,-0.0,-222795.0,-481000.0,459225.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,c079,-0.05718785606806196,1.9010133339365083,-1.1668382731960496,-1.2683432820853346,-1.4358663711639557,-1.5392123072517772,-1.4987355347598208,-0.020176404038721438,-0.38795998560290795,-0.0,3025611.0,-952692.0,-58139.0,-1117920.0,-0.0,-137244.0,-501642.0,257974.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,c079,0.5507690096110329,1.3623748178062698,-1.1866837174450486,-1.2134511064486682,-1.2837324733852333,-1.3867207332164897,-1.4987355347598208,-0.02061261384101264,-0.24799418014778116,-0.07072744237210801,4341691.0,-768563.0,-85232.0,-1025442.0,-292454.0,-388296.0,-2029996.0,-248292.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,c079,0.3111826931848698,16.76269170103191,-1.174654385395586,-1.2111479062121133,-1.2266559455238981,-1.259179248492931,-1.3591318056149169,-0.020064369070195823,-0.3181663215691823,-0.07082274459974587,4410348.0,-1994824.0,-84277.0,-1336404.0,-297479.0,367093.0,1364626.0,2429083.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,c079,-0.7515432713986702,3.2386221303050604,-1.1441572357836172,-1.189593430320756,-1.2186934845690016,-1.2128084434739799,-1.2420962296017257,-0.01840339567997759,-0.3070559552245135,-0.07358687007168344,3891415.0,-1469959.0,-68205.0,-1137983.0,-272721.0,-74896.0,343290.0,1210941.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,c079,-0.17445172591170444,0.7197713408265516,-1.4329485245014006,-1.1545680183213092,-1.1945753725618962,-1.2109079870433455,-1.2020109691994372,-0.020359408466164325,-0.29938632692008577,-0.06057807843010078,4841177.0,-1155535.0,-93870.0,-1380364.0,-279304.0,-466524.0,-5103934.0,-3638354.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,c079,0.06789492296034352,1.176128391330143,-1.7822084800368687,-1.4352417483381135,-1.1583005529293986,-1.1901862223006634,-1.2046772529491145,-0.02440982424892629,-0.287869150700201,-0.02813566260010738,5425799.0,-4179585.0,-126136.0,-1487543.0,-145389.0,-3086.0,-430600.0,-946540.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,c079,0.10393417008436404,1.7564808033818133,-1.8076917393337466,-1.780675904576599,-1.4352191291621712,-1.1557476381204435,-1.1864712165206597,-0.034630108613286185,-0.31145703460469815,-0.03483697903510988,5938500.0,-3554694.0,-195858.0,-1761512.0,-197028.0,-721132.0,894918.0,403194.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,c079,0.09953113860564473,1.8758181869691177,-1.7983691272480182,-1.8066375038963742,-1.77896106272668,-1.4320996166341944,-1.153385251173509,-0.03462034543764283,-0.3354410688726417,-0.011051965689672807,6091577.0,-2552462.0,-200850.0,-1946062.0,-64118.0,205370.0,-900332.0,633123.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,c079,0.08456019504676489,1.9417856886408533,-1.9869587654632013,-1.7977431106311204,-1.8055220351512598,-1.7759051350131514,-1.4302388003960997,-0.034561091728105106,-0.33218045057820794,-0.03801137668265944,4651268.0,-2142776.0,-153098.0,-1471486.0,-168382.0,553864.0,-806444.0,462946.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,c079,0.1263496024514066,1.7786817381495195,-2.00815967869092,-1.9861104144901145,-1.7970655817829406,-1.8036148068378557,-1.774466108527507,-0.02691901598970255,-0.33766806445972164,-0.00629988177017462,5701607.0,-3046815.0,-146173.0,-1833572.0,-34209.0,-654994.0,496285.0,482129.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,c079,0.019953065546169622,2.0756298735522933,-2.073380992183314,-2.0075847506597237,-1.9853936511879686,-1.795888881417775,-1.8027268681076056,-0.03729270976437114,-0.36070667347744484,-0.013462996580602661,5068437.0,-2095873.0,-180015.0,-1741161.0,-64987.0,139857.0,-485863.0,640395.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005,c079,-1.2408510941024342,2.5125116531682123,-1.3108263174865906,-1.3253986761339571,-1.2997736577561358,-1.2468073634493668,-1.2549635306926326,-0.028691760672495598,-0.35558650726543206,-0.07651421129659772,1199939.2307692308,-422627.23076923075,-32788.92307692308,-406364.0,-87440.38461538461,-27673.615384615376,-27284.692307692254,195760.38461538462,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,c079,0.39407151352421527,0.5334364654697088,-2.2928595544073267,-1.3253986761339571,-1.2997736577561358,-1.246807363449367,-1.254963530692633,-0.0417450609508585,-0.34277921686620944,-0.0,477926.0,-1265404.0,-19001.0,-156022.0,-0.0,-62534.0,432000.0,-593035.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,c079,0.22985696683987786,4.061898696282556,-1.7182267604374952,-2.0251350713979077,-1.2997736577561358,-1.2468073634493668,-1.2549635306926332,-0.03210933537192495,-0.34561577557765316,-0.0,691981.0,23572.0,-21161.0,-227771.0,-0.0,-86922.0,-107009.0,272690.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,c079,0.43773035308402997,2.72720366295871,-1.395337448982735,-1.6519656904235016,-1.9124596426572353,-1.2468073634493668,-1.2549635306926328,-0.020177639685005626,-0.4034627953072267,-0.0,933350.0,-151822.0,-17936.0,-358640.0,-0.0,-95248.0,-95167.0,214537.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,c079,-0.20544469973194812,6.478609057578217,-1.1217802176693972,-1.39052123217758,-1.6100446135643578,-1.8329840595225486,-1.2549635306926328,-0.020612265148119712,-0.26353944267062,-0.14415959542787757,1189207.0,138290.0,-23345.0,-298479.0,-163272.0,-25632.0,-296217.0,520552.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010,c079,1.1556666269982943,1.4246104219539384,-1.1258059649771033,-1.1346065950008561,-1.379305607122594,-1.5688489196443103,-1.8439989893894908,-0.020064557214924332,-0.3971283277558563,-0.11148044553219119,1441512.0,-372082.0,-27546.0,-545205.0,-153048.0,-496691.0,-143091.0,-296151.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,c079,0.34097824817053096,-1.2947292516671391,-1.3155388763320837,-1.1327406682977266,-1.1358771103180745,-1.3602330743850295,-1.5748876155312856,-0.01840342734737594,-0.48720933000119004,-0.14191764845888374,630225.0,-590348.0,-11046.0,-292430.0,-85181.0,451312.0,625798.0,728330.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,c079,0.080786791385872,8.061044520547945,-1.2365048102899636,-1.3163306697584958,-1.1334803696555638,-1.128544459904445,-1.3632075927817981,-0.020358087368432233,-0.40156201873546254,-0.1397966607543042,753224.0,-168427.0,-14604.0,-288063.0,-100284.0,63910.0,11077.0,256833.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,c079,0.017248236565988173,1.9906074829720806,-1.0801861187222683,-1.2384171240021162,-1.3145468374434335,-1.1293827045423446,-1.129810280111799,-0.024410608190791824,-0.3528628129778229,-0.06042327872969599,1218417.0,-74277.0,-28326.0,-409461.0,-70115.0,-182742.0,-355064.0,98432.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,c079,-0.03615793227023665,1.7848545612443039,-1.1518547096006646,-1.0828764149130579,-1.2378587083180437,-1.3102134275374564,-1.130093756154825,-0.03463051598468707,-0.3503269579550316,-0.058648651234369645,1463338.0,-450872.0,-48263.0,-488235.0,-81736.0,29585.0,-398577.0,25240.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,c079,-0.037102580318286414,1.6107601229250426,-1.1776760754645648,-1.152985276102279,-1.0833862202960554,-1.2351123737469656,-1.3109113285378875,-0.03462018965350989,-0.34786748413991003,-0.05361200503114798,1887442.0,-410301.0,-62232.0,-625314.0,-96371.0,-264512.0,-496958.0,-68246.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,c079,0.497259155851833,1.8704723389866544,-1.3511061173719907,-1.1782141142971305,-1.1530609624575052,-1.0821787268553624,-1.2355673940488143,-0.034561500669293865,-0.3481321138924124,-0.14490856006897296,1653982.0,-504157.0,-54442.0,-548385.0,-228263.0,-39634.0,-340468.0,-61367.0,0,0,0,0,0,0,0,0,1,0,0,0,0
