year,company,auwgr,lkpp,hlr_lag1,hlr_lag2,hlr_lag3,hlr_lag4,hlr_lag5,mer,der,oer,prem_write_net_lag1,claim_set_net_lag1,exp_management_lag1,exp_comm_incur_net_lag1,exp_other_lag1,prem_liab_diff_lag1,claim_liab_diff_lag1,uw_gain_lag1,class_bonds,class_cnstr_engr,class_cpr,class_fire,class_health,class_mac,class_mahl,class_motor,class_others,class_pa,class_prof_indm,class_pub_lia,class_wic
2015,c166,-0.011728676433718376,1.4274723932801843,-4.745187623404018,-4.423466612046725,-4.294613533520702,-4.50485574862571,-5.355660331635567,-0.2850343117990266,-0.018753107486719416,-0.006002876415132568,4664139.0,-6686410.0,-1266133.0,-83302.0,-26665.0,886000.0,2532999.0,20628.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,c166,0.4668886533972396,1.4232036784946345,-4.991745571814306,-4.746772016472149,-4.426659761387783,-4.296928689846666,-4.505742894053356,-0.31490192254341465,0.0018779438544451778,-0.011519008105781086,3968649.0,-5968534.0,-1190224.0,7098.0,-43538.0,906000.0,2274002.0,-46547.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,c166,0.4401305842890997,4.406703697915259,-4.9280668237949055,-4.992322949830627,-4.748247113980104,-4.42783618802218,-4.297681926703051,-0.3253938988937285,0.010731348234728167,-0.006831025201102699,3750074.0,-4238993.0,-1162144.0,38327.0,-24397.0,1004000.0,2384000.0,1750867.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,c166,0.7080276311295391,4.943158216727005,-5.050285351638931,-4.928564987011561,-4.993018751166333,-4.748643282954932,-4.428211587439929,-0.3500366718937887,-0.020302692553812403,-0.005108714760876751,2844140.0,-3415369.0,-948146.0,-54994.0,-13838.0,1112000.0,1728000.0,1251793.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,c166,0.45688560737672057,5.1681114426106625,-0.6707499119035304,-0.6548533558126389,-0.6475613854500175,-0.6196059101970766,-0.5790403574147206,-0.2925186399947402,0.006624766725744002,-0.007752689965458303,2146903.4615384615,-194816.15384615384,-598104.0769230769,13545.461538461539,-15851.692307692309,-98094.30769230775,-122503.07692307676,1131079.6153846155,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,c166,0.3975460223858986,2.679660572575952,-0.5838807909308734,-0.6548533558126389,-0.6475613854500175,-0.6196059101970766,-0.5790403574147206,-0.3343553721769344,0.16942653347587866,-0.01350060136308967,419048.0,-17996.0,-133439.0,67617.0,-5388.0,-129500.0,-8885.0,191457.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,c166,0.25970744252281797,2.9424127746544646,-0.4253461041096163,-0.598892916256629,-0.6475613854500175,-0.6196059101970766,-0.5790403574147205,-0.32832390196044076,0.06539620525937735,-0.012798979329989498,970343.0,-87116.0,-303416.0,60435.0,-11828.0,-214951.0,-27711.0,385756.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,c166,0.26049133806901953,2.823794627845493,-0.30360276712603285,-0.46917855069841646,-0.6021272430975145,-0.6196059101970766,-0.5790403574147205,-0.32812876396405055,-0.06626354753936099,-0.011074801044200444,1830683.0,-68271.0,-572095.0,-115531.0,-19309.0,-401434.0,-178601.0,475442.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,c166,0.4489870328307955,2.489287524928114,-0.3297287564188331,-0.3389552726493614,-0.48691489906681956,-0.581512847561432,-0.5790403574147205,-0.302363456764932,-0.043056871131289504,-0.009256326453951113,2587587.0,-123042.0,-745135.0,-106108.0,-22811.0,-437468.0,-478979.0,674044.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,c166,0.5276348343701329,4.0024920532614585,-0.4221009906405584,-0.3456023853660602,-0.3568323684520379,-0.4796745772831555,-0.5474102438415211,-0.2605126709532208,-0.04684183438896018,-0.008872549355987566,2185905.0,-158922.0,-542339.0,-97516.0,-18471.0,-116275.0,-270939.0,981443.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,c166,0.547404973387272,3.9549862070005126,-0.5383162067333217,-0.4287640147422028,-0.3544096269698473,-0.35751548611157874,-0.4589124903987543,-0.2637687732827297,0.03986036674929619,-0.006587365830255174,2098927.0,-142551.0,-527268.0,79680.0,-13168.0,-42753.0,-345400.0,1107467.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,c166,0.5681183416723183,4.604495585717428,-0.6512662506450008,-0.5401878372465809,-0.4325214922979257,-0.3548055750067021,-0.34852590196075733,-0.2510623279188311,0.010092852682523927,-0.006217294970233879,2406931.0,-186570.0,-575514.0,23136.0,-14252.0,68848.0,-405013.0,1317566.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,c166,0.935859564459718,4.371669421935146,-0.676226231413754,-0.6509932699335427,-0.5411791655292193,-0.4318704279317205,-0.3501669246417908,-0.25012996222940453,0.042448306723248584,-0.005611240545738137,2906229.0,-197757.0,-692319.0,117490.0,-15531.0,-405401.0,-61629.0,1651082.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,c166,0.5600249667868049,-6.3141897870877886,-0.7081242829109393,-0.6758790991510463,-0.6507298608466475,-0.5399541654858885,-0.4284343780373481,-0.26525725392705246,0.03798267100500859,-0.0063649934803007594,2461770.0,-198885.0,-621907.0,89052.0,-14923.0,412147.0,176617.0,2303871.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,c166,0.5056543973506058,6.525575462038456,-0.7816964466947145,-0.7077396927105243,-0.6756064810710724,-0.649464811994614,-0.5372284317287749,-0.2850121257961956,-0.010054138049859886,-0.006002171590310633,2307065.0,-251273.0,-626230.0,-22091.0,-13188.0,106731.0,-209000.0,1292014.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,c166,0.8084346979732127,4.835819582799564,-0.8127098215671932,-0.7811934264963682,-0.7074617694012761,-0.6747882640949538,-0.6474520113809773,-0.31507696954983866,0.024669280423472887,-0.011525505084252537,2529182.0,-287788.0,-758940.0,59422.0,-27762.0,-224222.0,-11000.0,1278892.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,c166,0.3774385339094907,-11.565614514439208,-0.7813589229184786,-0.812315118546845,-0.7808523738061379,-0.7068650915724707,-0.6735495601066315,-0.325468167559032,0.040370675134194005,-0.006832430991501212,2505887.0,-286543.0,-776749.0,96347.0,-16306.0,109210.0,394000.0,2025846.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,c166,0.47895622736033605,3.9017013123253386,-0.7948057144014314,-0.7811433823875885,-0.8120503338305052,-0.7803596986693078,-0.7060117446666203,-0.3499764090500366,-0.0294920575900641,-0.005107699908302681,2700188.0,-525896.0,-900002.0,-75842.0,-13135.0,-158.0,-166000.0,1019155.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,c166,3.2934257128822937,-4.904586436088374,-2.184455664356285,-2.256869841025289,-2.41061619930636,-2.7009633605425405,-2.8227687852028214,-0.29429321613596904,0.40964784325166215,-0.008517826641382653,49042.846153846156,-9272.76923076923,-13745.692307692309,19133.615384615383,-397.84615384615387,7674.153846153851,11598.0,64032.307692307695,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,c166,1.6139551412027844,1.2390212856233647,-4.777153919518042,-3.032476304417269,-2.41061619930636,-2.7009633605425405,-2.8227687852028214,-0.32325209748302036,0.6237614862165403,-0.012614862165401518,35042.0,-64709.0,-10788.0,20817.0,-421.0,15476.0,20951.0,16368.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,c166,0.36616438874796503,-0.3141846768346202,-2.6079633663655883,-3.454003155141976,-3.0275646767192943,-3.710934061847243,-3.876489136234289,-0.2578768371189117,0.3655805903072999,-0.006376776387708004,49398.0,-6431.0,-12132.0,17199.0,-300.0,7000.0,156657.0,211391.0,1,0,0,0,0,0,0,0,0,0,0,0,0
