company,class,prem_liab_begin,prem_liab_end,prem_write_net
c172,prof_indm,96642,215763,-276224
c172,wic,68531,82530,-2485
c172,cnstr_engr,1198422,1144167,-26682
c172,cpr,142984,1018240,-9577
c172,mac,270729,297825,-689017
c172,prof_indm,248255,-8172,129796
c172,prof_indm,-8172,387190,-69662
c172,motor,8506,3483,-5109
c172,bonds,339290,26542,-178234
c172,motor,3483,4139,-216
c172,wic,66719,81101,-2348
